ImageId,Label
1,9
2,9
3,0
4,5
5,9
6,2
7,7
8,4
9,7
10,4
11,4
12,5
13,8
14,7
15,5
16,4
17,7
18,0
19,2
20,7
21,8
22,0
23,4
24,0
25,6
26,2
27,5
28,1
29,6
30,2
31,3
32,5
33,8
34,4
35,3
36,7
37,3
38,5
39,8
40,7
41,6
42,2
43,3
44,5
45,0
46,8
47,4
48,4
49,8
50,5
51,3
52,4
53,4
54,4
55,2
56,4
57,7
58,5
59,0
60,5
61,0
62,5
63,5
64,7
65,4
66,7
67,0
68,3
69,7
70,4
71,8
72,2
73,2
74,4
75,0
76,4
77,5
78,8
79,4
80,9
81,2
82,2
83,0
84,4
85,3
86,9
87,8
88,6
89,8
90,2
91,4
92,5
93,3
94,9
95,4
96,3
97,2
98,2
99,8
100,5
101,4
102,7
103,4
104,7
105,5
106,5
107,7
108,2
109,7
110,5
111,5
112,9
113,3
114,0
115,0
116,3
117,5
118,0
119,2
120,4
121,4
122,2
123,8
124,4
125,5
126,9
127,6
128,2
129,3
130,5
131,7
132,2
133,8
134,1
135,7
136,7
137,4
138,0
139,4
140,5
141,5
142,9
143,3
144,2
145,5
146,2
147,8
148,8
149,9
150,4
151,3
152,6
153,2
154,8
155,2
156,9
157,2
158,2
159,5
160,4
161,4
162,7
163,3
164,4
165,0
166,4
167,0
168,8
169,3
170,7
171,4
172,6
173,2
174,3
175,0
176,4
177,6
178,3
179,0
180,9
181,8
182,2
183,4
184,5
185,3
186,2
187,9
188,0
189,5
190,4
191,3
192,4
193,3
194,5
195,3
196,7
197,2
198,2
199,9
200,2
201,0
202,2
203,4
204,2
205,3
206,7
207,2
208,8
209,5
210,5
211,7
212,2
213,4
214,8
215,6
216,5
217,0
218,8
219,9
220,2
221,4
222,4
223,0
224,4
225,9
226,2
227,0
228,8
229,2
230,7
231,7
232,8
233,2
234,9
235,3
236,4
237,8
238,4
239,4
240,8
241,4
242,7
243,4
244,4
245,2
246,2
247,2
248,5
249,6
250,8
251,8
252,8
253,0
254,2
255,9
256,3
257,4
258,0
259,2
260,7
261,5
262,9
263,4
264,2
265,5
266,4
267,3
268,4
269,7
270,7
271,8
272,7
273,3
274,4
275,2
276,3
277,0
278,2
279,4
280,3
281,7
282,6
283,7
284,6
285,4
286,5
287,3
288,2
289,3
290,2
291,4
292,2
293,6
294,3
295,2
296,3
297,6
298,0
299,9
300,4
301,8
302,2
303,6
304,7
305,8
306,5
307,0
308,4
309,3
310,7
311,6
312,8
313,2
314,2
315,4
316,6
317,5
318,3
319,0
320,4
321,2
322,4
323,0
324,8
325,6
326,3
327,2
328,7
329,5
330,6
331,8
332,2
333,0
334,9
335,7
336,3
337,7
338,2
339,3
340,2
341,3
342,5
343,0
344,4
345,8
346,7
347,8
348,5
349,7
350,4
351,8
352,2
353,6
354,4
355,2
356,7
357,6
358,3
359,3
360,0
361,9
362,8
363,7
364,2
365,2
366,5
367,4
368,2
369,0
370,3
371,2
372,3
373,8
374,2
375,2
376,3
377,5
378,2
379,9
380,6
381,5
382,5
383,2
384,8
385,4
386,3
387,9
388,0
389,4
390,0
391,0
392,2
393,5
394,3
395,8
396,0
397,9
398,0
399,0
400,6
401,8
402,6
403,3
404,0
405,0
406,0
407,5
408,9
409,2
410,4
411,4
412,4
413,8
414,4
415,3
416,5
417,0
418,0
419,4
420,2
421,8
422,8
423,3
424,2
425,5
426,0
427,3
428,2
429,2
430,6
431,8
432,4
433,5
434,9
435,5
436,0
437,9
438,5
439,2
440,5
441,2
442,5
443,5
444,2
445,8
446,3
447,0
448,0
449,4
450,2
451,2
452,5
453,3
454,2
455,4
456,8
457,0
458,4
459,0
460,9
461,7
462,2
463,2
464,1
465,2
466,7
467,2
468,8
469,8
470,0
471,0
472,3
473,8
474,2
475,9
476,0
477,5
478,9
479,0
480,7
481,5
482,6
483,7
484,4
485,3
486,3
487,8
488,2
489,4
490,5
491,0
492,2
493,4
494,3
495,5
496,0
497,7
498,8
499,9
500,4
501,7
502,2
503,3
504,1
505,4
506,4
507,4
508,9
509,5
510,7
511,6
512,4
513,4
514,8
515,2
516,6
517,4
518,5
519,8
520,5
521,5
522,2
523,7
524,5
525,3
526,0
527,4
528,7
529,0
530,5
531,7
532,3
533,4
534,2
535,2
536,2
537,7
538,4
539,3
540,4
541,7
542,7
543,2
544,7
545,4
546,5
547,7
548,2
549,7
550,0
551,4
552,4
553,5
554,7
555,7
556,7
557,8
558,7
559,8
560,4
561,2
562,4
563,4
564,0
565,3
566,2
567,8
568,0
569,9
570,3
571,5
572,6
573,6
574,9
575,5
576,3
577,4
578,3
579,5
580,5
581,4
582,5
583,8
584,9
585,3
586,0
587,8
588,9
589,6
590,2
591,6
592,6
593,5
594,2
595,8
596,3
597,8
598,3
599,7
600,7
601,7
602,0
603,6
604,0
605,4
606,8
607,4
608,5
609,3
610,3
611,2
612,8
613,9
614,9
615,9
616,1
617,5
618,7
619,7
620,5
621,6
622,2
623,2
624,5
625,3
626,8
